#%create_date=Mon Jul 30 12:06:54 2018 PDT,,,,,,,,,,,,,,,,,,,,
#%chip_type=Clariom_D_Human,,,,,,,,,,,,,,,,,,,,
#%lib_set_name=Clariom_D_Human,,,,,,,,,,,,,,,,,,,,
#%lib_set_version=r1,,,,,,,,,,,,,,,,,,,,
#%genome-species=Homo sapiens,,,,,,,,,,,,,,,,,,,,
#%genome-version=hg38,,,,,,,,,,,,,,,,,,,,
#%genome-version-ucsc=hg38,,,,,,,,,,,,,,,,,,,,
#%genome-version-ncbi=GRCh38,,,,,,,,,,,,,,,,,,,,
#%genome-version-create_date=2013-12-00,,,,,,,,,,,,,,,,,,,,
#%genome-lifted-method=psl-map.pl,,,,,,,,,,,,,,,,,,,,
#%genome-lifted_from-species=Homo sapiens,,,,,,,,,,,,,,,,,,,,
#%genome-lifted_from-version-ucsc=hg38,,,,,,,,,,,,,,,,,,,,
#%genome-lifted_from-version-ncbi=GRCh38,,,,,,,,,,,,,,,,,,,,
#%netaffx-annotation-date=2016-06-03,,,,,,,,,,,,,,,,,,,,
#%netaffx-annotation-netaffx-build=36,,,,,,,,,,,,,,,,,,,,
#%netaffx-annotation-tabular-data-version=1.1,,,,,,,,,,,,,,,,,,,,
#%netaffx-annotation-tabular-format-version=1.1,,,,,,,,,,,,,,,,,,,,
#%netaffx-annotation-data-type=transcript_cluster,,,,,,,,,,,,,,,,,,,,
#%netaffx-annotation-docgen-method=module:affy/annotation_update/builder; exec:create-download-file.pl,,,,,,,,,,,,,,,,,,,,
#%netaffx-annotation-docgen-version=8487,,,,,,,,,,,,,,,,,,,,
## probeset_id refers to the transcript cluster id, not the exon level probe set, and is required for ExACT software compatibility.,,,,,,,,,,,,,,,,,,
transcript_cluster_id,probeset_id,seqname,strand,start,stop,total_probes,gene_assignment,mrna_assignment,swissprot,unigene,GO_biological_process,GO_cellular_component,GO_molecular_function,pathway,protein_domains,category,locus type,notes,Best_Coverage_TaqMan_Assay,Best_Coverage_TaqMan_Assay_HTML
TC0100006432.hg.1,TC0100006432.hg.1,chr1,+,11869,14412,10,NR_046018 // DDX11L1 // DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 // 1p36.33 // 100287102 /// OTTHUMT00000002844 // DDX11L1 // DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 // 1p36.33 // 100287102 /// OTTHUMT00000362751 // DDX11L1 // DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 // 1p36.33 // 100287102,"NR_046018 // RefSeq // Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 (DDX11L1), non-coding RNA. // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000002844 // Havana transcript // DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1[gene_biotype:transcribed_unprocessed_pseudogene transcript_biotype:transcribed_unprocessed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000362751 // Havana transcript // DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1[gene_biotype:transcribed_unprocessed_pseudogene transcript_biotype:processed_transcript] // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000450305 // ENSEMBL // DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 [gene_biotype:transcribed_unprocessed_pseudogene transcript_biotype:transcribed_unprocessed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000456328 // ENSEMBL // DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1 [gene_biotype:transcribed_unprocessed_pseudogene transcript_biotype:processed_transcript] // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000001 // lncRNAWiki // Non-coding transcript identified by NONCODE // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000001 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000002 // lncRNAWiki // Non-coding transcript identified by NONCODE // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000002 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000003 // lncRNAWiki // Non-coding transcript identified by NONCODE // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000003 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000004 // lncRNAWiki // Non-coding transcript identified by NONCODE // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000004 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0",NR_046018 // B7ZGX0 /// NR_046018 // B7ZGX2 /// NR_046018 // B7ZGX7 /// NR_046018 // B7ZGX8 /// OTTHUMT00000002844 // B7ZGX0 /// OTTHUMT00000002844 // B7ZGX2 /// OTTHUMT00000002844 // B7ZGX7 /// OTTHUMT00000002844 // B7ZGX8 /// OTTHUMT00000362751 // B7ZGX0 /// OTTHUMT00000362751 // B7ZGX2 /// OTTHUMT00000362751 // B7ZGX7 /// OTTHUMT00000362751 // B7ZGX8 /// ENST00000450305 // B7ZGX0 /// ENST00000450305 // B7ZGX2 /// ENST00000450305 // B7ZGX7 /// ENST00000450305 // B7ZGX8 /// ENST00000450305 // B4E2Z4 /// ENST00000450305 // B7ZGW9 /// ENST00000450305 // Q6ZU42 /// ENST00000450305 // B7ZGX3 /// ENST00000450305 // B5WYT6 /// ENST00000456328 // B7ZGX0 /// ENST00000456328 // B7ZGX2 /// ENST00000456328 // B7ZGX7 /// ENST00000456328 // B7ZGX8 /// ENST00000456328 // B4E2Z4 /// ENST00000456328 // B7ZGW9 /// ENST00000456328 // Q6ZU42 /// ENST00000456328 // B7ZGX3 /// ENST00000456328 // B5WYT6,NR_046018 // Hs.714157 // testis| normal| adult /// OTTHUMT00000002844 // Hs.714157 // testis| normal| adult /// OTTHUMT00000362751 // Hs.714157 // testis| normal| adult /// ENST00000450305 // Hs.719844 // brain| testis| normal /// ENST00000450305 // Hs.714157 // testis| normal| adult /// ENST00000450305 // Hs.740212 // --- /// ENST00000450305 // Hs.712940 // bladder| bone marrow| brain| embryonic tissue| intestine| mammary gland| muscle| pharynx| placenta| prostate| skin| spleen| stomach| testis| thymus| breast (mammary gland) tumor| gastrointestinal tumor| glioma| non-neoplasia| normal| prostate cancer| skin tumor| soft tissue/muscle tissue tumor|embryoid body| adult /// ENST00000456328 // Hs.719844 // brain| testis| normal /// ENST00000456328 // Hs.714157 // testis| normal| adult /// ENST00000456328 // Hs.740212 // --- /// ENST00000456328 // Hs.712940 // bladder| bone marrow| brain| embryonic tissue| intestine| mammary gland| muscle| pharynx| placenta| prostate| skin| spleen| stomach| testis| thymus| breast (mammary gland) tumor| gastrointestinal tumor| glioma| non-neoplasia| normal| prostate cancer| skin tumor| soft tissue/muscle tissue tumor|embryoid body| adult,ENST00000450305 // GO:0006139 // nucleobase-containing compound metabolic process // inferred from electronic annotation  /// ENST00000456328 // GO:0006139 // nucleobase-containing compound metabolic process // inferred from electronic annotation ,---,"ENST00000450305 // GO:0003676 // nucleic acid binding // inferred from electronic annotation  /// ENST00000450305 // GO:0005524 // ATP binding // inferred from electronic annotation  /// ENST00000450305 // GO:0008026 // ATP-dependent helicase activity // inferred from electronic annotation  /// ENST00000450305 // GO:0016818 // hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides // inferred from electronic annotation  /// ENST00000456328 // GO:0003676 // nucleic acid binding // inferred from electronic annotation  /// ENST00000456328 // GO:0005524 // ATP binding // inferred from electronic annotation  /// ENST00000456328 // GO:0008026 // ATP-dependent helicase activity // inferred from electronic annotation  /// ENST00000456328 // GO:0016818 // hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides // inferred from electronic annotation ",---,---,main,Multiple_Complex,---,TaqMan Probe Unavailable,TaqMan Probe Unavailable
TC0100006433.hg.1,TC0100006433.hg.1,chr1,+,28046,29178,6,spopoybu.aAug10-unspliced // spopoybu // Transcript Identified by AceView // --- // ---,spopoybu.aAug10-unspliced // Ace View // Transcript Identified by AceView // chr1 // 100 // 100 // 0 // --- // 0,---,---,---,---,---,---,---,main,Coding,---,Hs05638734_g1,http://www.thermofisher.com/order/genome-database/searchResults?keyword=Hs05638734_g1&productTypeSelect=taqman
TC0100006434.hg.1,TC0100006434.hg.1,chr1,+,29554,31109,10,NR_036267 // MIR1302-10 // microRNA 1302-10 // --- // 100422834 /// ENST00000607096 // MIR1302-2 // microRNA 1302-2 // --- // 100302278,"NR_036267 // RefSeq // Homo sapiens microRNA 1302-10 (MIR1302-10), microRNA. // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000607096 // ENSEMBL // microRNA 1302-2 [gene_biotype:miRNA transcript_biotype:miRNA] // chr1 // 100 // 100 // 0 // --- // 0 /// NR_036051_3 // RefSeq // Homo sapiens microRNA 1302-2 (MIR1302-2), microRNA. // chr1 // 100 // 100 // 0 // --- // 0 /// NR_036266_3 // RefSeq // Homo sapiens microRNA 1302-9 (MIR1302-9), microRNA. // chr1 // 100 // 100 // 0 // --- // 0 /// NR_036268_4 // RefSeq // Homo sapiens microRNA 1302-11 (MIR1302-11), microRNA. // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000469289 // ENSEMBL // havana:known chromosome:GRCh38:1:30267:31109:1 gene:ENSG00000243485 gene_biotype:lincRNA transcript_biotype:lincRNA // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000473358 // ENSEMBL // havana:known chromosome:GRCh38:1:29554:31097:1 gene:ENSG00000243485 gene_biotype:lincRNA transcript_biotype:lincRNA // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000469289.1 // lncRNAWiki // microRNA 1302-11 [Source:HGNC Symbol;Acc:HGNC:38246] // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000473358.1 // lncRNAWiki // microRNA 1302-11 [Source:HGNC Symbol;Acc:HGNC:38246] // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000607096.1 // lncRNAWiki // microRNA 1302-11 [Source:HGNC Symbol;Acc:38246] // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000002840 // Havana transcript // novel transcript // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000002841 // Havana transcript // novel transcript // chr1 // 100 // 100 // 0 // --- // 0 /// uc031tlb.1 // UCSC Genes // microRNA 1302-2 [Source:HGNC Symbol;Acc:HGNC:35294] // chr1 // 100 // 100 // 0 // --- // 0 /// uc057aty.1 // UCSC Genes // N/A // chr1 // 100 // 100 // 0 // --- // 0 /// uc057atz.1 // UCSC Genes // N/A // chr1 // 100 // 100 // 0 // --- // 0 /// HG491497.1:1..712:ncRNA // RNACentral // long non-coding RNA OTTHUMT00000002840.1 (RP11-34P13.3 gene // chr1 // 100 // 100 // 0 // --- // 0 /// HG491498.1:1..535:ncRNA // RNACentral // long non-coding RNA OTTHUMT00000002841.2 (RP11-34P13.3 gene // chr1 // 100 // 100 // 0 // --- // 0 /// LM610125.1:1..138:precursor_RNA // RNACentral // microRNA hsa-mir-1302-9 precursor // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000011 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000012 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0 /// NR_036051.1:1..138:precursor_RNA // RNACentral // microRNA hsa-mir-1302-9 precursor // chr1 // 100 // 100 // 0 // --- // 0",---,---,---,---,---,---,---,main,Multiple_Complex,---,TaqMan Probe Unavailable,TaqMan Probe Unavailable
TC0100006435.hg.1,TC0100006435.hg.1,chr1,+,52473,53312,10,"OTTHUMT00000471235 // OR4G4P // olfactory receptor, family 4, subfamily G, member 4 pseudogene // 1p36.33 // 79504","OTTHUMT00000471235 // Havana transcript // lfactory receptor, family 4, subfamily G, member 4 pseudogene[gene_biotype:unprocessed_pseudogene transcript_biotype:unprocessed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000606857 // ENSEMBL // olfactory receptor, family 4, subfamily G, member 4 pseudogene [gene_biotype:unprocessed_pseudogene transcript_biotype:unprocessed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0",---,---,---,---,---,---,---,main,Pseudogene,---,Hs05273022_g1,http://www.thermofisher.com/order/genome-database/searchResults?keyword=Hs05273022_g1&productTypeSelect=taqman
TC0100006436.hg.1,TC0100006436.hg.1,chr1,+,62948,63887,10,"ENST00000492842 // OR4G2P // olfactory receptor, family 4, subfamily G, member 2 pseudogene // 15q26 // 26680 /// OTTHUMT00000003224 // OR4G11P // olfactory receptor, family 4, subfamily G, member 11 pseudogene // 1p36.33 // 403263","ENST00000492842 // ENSEMBL // olfactory receptor, family 4, subfamily G, member 11 pseudogene [gene_biotype:unprocessed_pseudogene transcript_biotype:unprocessed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000003224 // Havana transcript // olfactory receptor, family 4, subfamily G, member 11 pseudogene[gene_biotype:unprocessed_pseudogene transcript_biotype:unprocessed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000016 // lncRNAWiki // Non-coding transcript identified by NONCODE // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000016 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0",---,---,---,---,---,---,---,main,Multiple_Complex,---,Hs05273029_g1,http://www.thermofisher.com/order/genome-database/searchResults?keyword=Hs05273029_g1&productTypeSelect=taqman
TC0100006437.hg.1,TC0100006437.hg.1,chr1,+,69091,70008,10,"NM_001005484 // OR4F5 // olfactory receptor, family 4, subfamily F, member 5 // 1p36.33 // 79501 /// ENST00000335137 // OR4F5 // olfactory receptor, family 4, subfamily F, member 5 // 1p36.33 // 79501 /// OTTHUMT00000003223 // OR4F5 // olfactory receptor, family 4, subfamily F, member 5 // 1p36.33 // 79501 /// uc001aal.1 // OR4F5 // olfactory receptor, family 4, subfamily F, member 5 // 1p36.33 // 79501","NM_001005484 // RefSeq // Homo sapiens olfactory receptor, family 4, subfamily F, member 5 (OR4F5), mRNA. // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000335137 // ENSEMBL // olfactory receptor, family 4, subfamily F, member 5 [gene_biotype:protein_coding transcript_biotype:protein_coding] // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000003223 // Havana transcript // olfactory receptor, family 4, subfamily F, member 5[gene_biotype:protein_coding transcript_biotype:protein_coding] // chr1 // 100 // 100 // 0 // --- // 0 /// uc001aal.1 // UCSC Genes // Homo sapiens olfactory receptor, family 4, subfamily F, member 5 (OR4F5), mRNA. // chr1 // 100 // 100 // 0 // --- // 0 /// CCDS30547.1 // ccdsGene // olfactory receptor, family 4, subfamily F, member 5 [Source:HGNC Symbol;Acc:HGNC:14825] // chr1 // 100 // 100 // 0 // --- // 0",NM_001005484 // Q8NH21 /// ENST00000335137 // Q8NH21,NM_001005484 // Hs.554500 // --- /// ENST00000335137 // Hs.554500 // --- /// OTTHUMT00000003223 // Hs.554500 // --- /// uc001aal.1 // Hs.554500 // ---,NM_001005484 // GO:0007186 // G-protein coupled receptor signaling pathway // not recorded  /// NM_001005484 // GO:0050907 // detection of chemical stimulus involved in sensory perception // not recorded  /// NM_001005484 // GO:0050911 // detection of chemical stimulus involved in sensory perception of smell // inferred from electronic annotation  /// NM_001005484 // GO:0007165 // signal transduction // inferred from electronic annotation  /// NM_001005484 // GO:0007186 // G-protein coupled receptor signaling pathway // --- /// NM_001005484 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// NM_001005484 // GO:0007608 // sensory perception of smell // inferred from electronic annotation  /// NM_001005484 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// NM_001005484 // GO:0050907 // detection of chemical stimulus involved in sensory perception // --- /// ENST00000335137 // GO:0007186 // G-protein coupled receptor signaling pathway // not recorded  /// ENST00000335137 // GO:0050907 // detection of chemical stimulus involved in sensory perception // not recorded  /// ENST00000335137 // GO:0050911 // detection of chemical stimulus involved in sensory perception of smell // inferred from electronic annotation  /// ENST00000335137 // GO:0007186 // G-protein coupled receptor signaling pathway // --- /// ENST00000335137 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// ENST00000335137 // GO:0050907 // detection of chemical stimulus involved in sensory perception // --- /// ENST00000335137 // GO:0007165 // signal transduction // inferred from electronic annotation  /// ENST00000335137 // GO:0007608 // sensory perception of smell // inferred from electronic annotation  /// ENST00000335137 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0007186 // G-protein coupled receptor signaling pathway // not recorded  /// OTTHUMT00000003223 // GO:0050907 // detection of chemical stimulus involved in sensory perception // not recorded  /// OTTHUMT00000003223 // GO:0050911 // detection of chemical stimulus involved in sensory perception of smell // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0007165 // signal transduction // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0007186 // G-protein coupled receptor signaling pathway // --- /// OTTHUMT00000003223 // GO:0007608 // sensory perception of smell // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0050907 // detection of chemical stimulus involved in sensory perception // --- /// uc001aal.1 // GO:0007186 // G-protein coupled receptor signaling pathway // not recorded  /// uc001aal.1 // GO:0050907 // detection of chemical stimulus involved in sensory perception // not recorded  /// uc001aal.1 // GO:0050911 // detection of chemical stimulus involved in sensory perception of smell // inferred from electronic annotation ,NM_001005484 // GO:0005886 // plasma membrane // traceable author statement  /// NM_001005484 // GO:0016021 // integral component of membrane // not recorded  /// NM_001005484 // GO:0005886 // plasma membrane // inferred from electronic annotation  /// NM_001005484 // GO:0016020 // membrane // inferred from electronic annotation  /// NM_001005484 // GO:0016021 // integral component of membrane // --- /// NM_001005484 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// ENST00000335137 // GO:0005886 // plasma membrane // traceable author statement  /// ENST00000335137 // GO:0016021 // integral component of membrane // not recorded  /// ENST00000335137 // GO:0016021 // integral component of membrane // --- /// ENST00000335137 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// ENST00000335137 // GO:0005886 // plasma membrane // inferred from electronic annotation  /// ENST00000335137 // GO:0016020 // membrane // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0005886 // plasma membrane // traceable author statement  /// OTTHUMT00000003223 // GO:0016021 // integral component of membrane // not recorded  /// OTTHUMT00000003223 // GO:0016021 // integral component of membrane // --- /// OTTHUMT00000003223 // GO:0016020 // membrane // inferred from electronic annotation  /// uc001aal.1 // GO:0005886 // plasma membrane // traceable author statement  /// uc001aal.1 // GO:0016021 // integral component of membrane // not recorded ,NM_001005484 // GO:0004888 // transmembrane signaling receptor activity // not recorded  /// NM_001005484 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// NM_001005484 // GO:0004984 // olfactory receptor activity // inferred from electronic annotation  /// NM_001005484 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// NM_001005484 // GO:0004888 // transmembrane signaling receptor activity // --- /// ENST00000335137 // GO:0004888 // transmembrane signaling receptor activity // not recorded  /// ENST00000335137 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// ENST00000335137 // GO:0004984 // olfactory receptor activity // inferred from electronic annotation  /// ENST00000335137 // GO:0004888 // transmembrane signaling receptor activity // --- /// ENST00000335137 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0004888 // transmembrane signaling receptor activity // not recorded  /// OTTHUMT00000003223 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0004984 // olfactory receptor activity // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// OTTHUMT00000003223 // GO:0004888 // transmembrane signaling receptor activity // --- /// uc001aal.1 // GO:0004888 // transmembrane signaling receptor activity // not recorded  /// uc001aal.1 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// uc001aal.1 // GO:0004984 // olfactory receptor activity // inferred from electronic annotation ,---,"OTTHUMT00000003223 // Pfam // IPR000276 // G protein-coupled receptor, rhodopsin-like /// OTTHUMT00000003223 // Pfam // IPR019424 // Serpentine type 7TM GPCR chemoreceptor Srsx",main,Coding,---,Hs03406040_gH,http://www.thermofisher.com/order/genome-database/searchResults?keyword=Hs03406040_gH&productTypeSelect=taqman
TC0100006438.hg.1,TC0100006438.hg.1,chr1,+,131025,139723,10,ENST00000442987 // CICP27 // capicua transcriptional repressor pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:48835] // --- // ---,ENST00000442987 // ENSEMBL // capicua transcriptional repressor pseudogene 27 [gene_biotype:processed_pseudogene transcript_biotype:processed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000024 // lncRNAWiki // Non-coding transcript identified by NONCODE // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000024 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000003691 // Havana transcript // capicua homolog (Drosophila) (CIC) pseudogene[gene_biotype:processed_pseudogene transcript_biotype:processed_pseudogene] // chr1 // 100 // 100 // 0 // --- // 0 /// TCONS_l2_00000001 // lncRNA Db // Hg19:chr1:+:134766-139723 // chr1 // 100 // 100 // 0 // --- // 0 /// TCONS_l2_00000002 // lncRNA Db // Hg19:chr1:+:134766-139723 // chr1 // 100 // 100 // 0 // --- // 0 /// TCONS_l2_00001922 // lncRNA Db // Hg19:chr1:+:134772-139697 // chr1 // 100 // 100 // 0 // --- // 0 /// TCONS_l2_00001923 // lncRNA Db // Hg19:chr1:+:134772-139697 // chr1 // 100 // 100 // 0 // --- // 0,---,---,---,---,---,---,---,main,Multiple_Complex,---,Hs02517237_gH,http://www.thermofisher.com/order/genome-database/searchResults?keyword=Hs02517237_gH&productTypeSelect=taqman
TC0100006439.hg.1,TC0100006439.hg.1,chr1,+,150309,151388,10,---,NONHSAT000035 // lncRNAWiki // Non-coding transcript identified by NONCODE // chr1 // 100 // 100 // 0 // --- // 0,---,---,---,---,---,---,---,main,NonCoding,---,Hs05055420_g1,http://www.thermofisher.com/order/genome-database/searchResults?keyword=Hs05055420_g1&productTypeSelect=taqman
TC0100006440.hg.1,TC0100006440.hg.1,chr1,+,160446,161525,10,ENST00000496488.1 // RP11-34P13.9 // --- // --- // --- /// OTTHUMT00000007169 // RP11-34P13.9 // putative novel transcript // --- // --- /// uc057aum.1 // RP11-34P13.9 // --- // --- // ---,ENST00000496488.1 // lncRNAWiki // N/A // chr1 // 100 // 100 // 0 // --- // 0 /// OTTHUMT00000007169 // Havana transcript // putative novel transcript // chr1 // 100 // 100 // 0 // --- // 0 /// uc057aum.1 // UCSC Genes // N/A // chr1 // 100 // 100 // 0 // --- // 0 /// ENST00000496488 // ENSEMBL // havana:known chromosome:GRCh38:1:160446:161525:1 gene:ENSG00000241599 gene_biotype:lincRNA transcript_biotype:lincRNA // chr1 // 100 // 100 // 0 // --- // 0 /// HG491507.1:1..457:ncRNA // RNACentral // long non-coding RNA OTTHUMT00000007169.1 (RP11-34P13.9 gene // chr1 // 100 // 100 // 0 // --- // 0 /// NONHSAT000038 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 100 // 0 // --- // 0 /// TCONS_00000119 // lncRNA Db // gene_id XLOC_000001; transcript_id TCONS_00000119; oId ENST00000496488; linc_name linc-OR4F16-10; tss_id TSS1; class_code u; gene_name linc-OR4F16-10; // chr1 // 100 // 100 // 0 // --- // 0,---,---,---,---,---,---,---,main,NonCoding,---,TaqMan Probe Unavailable,TaqMan Probe Unavailable
TC0100006441.hg.1,TC0100006441.hg.1,chr1,+,182393,184158,10,ENST00000624431 // LOC102725121 // putative ATP-dependent RNA helicase DDX12 // --- // 102725121 /// uc057auo.1 // FO538757.3 // Protein LOC102725121  [Source:UniProtKB/TrEMBL;Acc:A0A096LP88] // --- // ---,ENST00000624431 // ENSEMBL // Protein LOC102725121  [gene_biotype:protein_coding transcript_biotype:protein_coding] // chr1 // 100 // 100 // 0 // --- // 0 /// uc057auo.1 // UCSC Genes // Protein LOC102725121  [Source:UniProtKB/TrEMBL;Acc:A0A096LP88] // chr1 // 100 // 100 // 0 // --- // 0,ENST00000624431 // A0A096LP88,---,---,---,---,---,---,main,Coding,---,TaqMan Probe Unavailable,TaqMan Probe Unavailable
